"radio_name","radio_url","radio_city","radio_country","radio_tags","mp3_bitrate","mp3_url","aac_bitrate","aac_url"
"Antenna 5 Macedonia","http://www.antenna5.com.mk/","Skopje","Macedonia","Macedonian Pop/Rock",160,"http://217.16.69.17:8000/machits.mp3.m3u",,
"Antenna 5 Techno","http://www.antenna5.com.mk/","Skopje","Macedonia","Techno",32,"http://217.16.69.17:8000/techno.mp3.m3u",,
"Antenna 5 Xmas","http://www.antenna5.com.mk/","Skopje","Macedonia","Christmas music",160,"http://217.16.69.17:8000/xmass.mp3.m3u",,
"Antenna Radio Esse","http://www.antennaradioesse.it/","Siena","Italy","Local service",,,32,"http://s8.mediastreaming.it:7580/listen.pls"
"Antenna Uno","http://www.antennauno.it/","Catania","Italy","Dance / Techno",56,"http://84.33.192.44:8090/a1.mp3.m3u",64,"http://84.33.192.44:8090/a1.aac.m3u"
"Antenna1","http://www.antenna1.fm/","Rome","Italy","Adult Contemporary",128,"http://s3.mediastreaming.it:7568/listen.pls",,
"Antenne AC","http://www.antenne-ac.de/","Würselen","Germany","Hot Adult Contemporary",128,"http://skyserver3.skydisc.net:9000/listen.pls",,
"Antenne Bad Kreuznach","http://www.antenne-kh.de/","Bad Kreuznach","Germany","Adult Contemporary",,,64,"http://stream.telvi.de:8000/antenne_badkreuznach.m3u"
"Antenne Bayern","http://www.antenne.de/","Munich","Germany","Hot Adult Contemporary",128,"http://www.antenne.de/webradio/antenne.m3u",64,"http://mp3channels.webradio.antenne.de/antenne.aac.m3u"
"Antenne Bayern 80er Kulthits","http://www.antenne.de/","Munich","Germany","80s hits",128,"http://www.antenne.de/webradio/channels/80er-kulthits.m3u",64,"http://mp3channels.webradio.antenne.de/80er-kulthits.aac.m3u"
"Antenne Bayern Black Beatz","http://www.antenne.de/","Munich","Germany","HipHop/RnB/Soul",128,"http://www.antenne.de/webradio/channels/black-beatz.m3u",64,"http://mp3channels.webradio.antenne.de/black-beatz.aac.m3u"
"Antenne Bayern Chillout","http://www.antenne.de/","Munich","Germany","Lounge/chillout",128,"http://www.antenne.de/webradio/channels/chillout.m3u",64,"http://mp3channels.webradio.antenne.de/chillout.aac.m3u"
"Antenne Bayern Classic Rock Live","http://www.antenne.de/","Munich","Germany","Classic Rock",128,"http://www.antenne.de/webradio/channels/classic-rock-live.m3u",64,"http://mp3channels.webradio.antenne.de/classic-rock-live.aac.m3u"
